"Title","Published Date","Issues","Number of signatures"
"Award the Presidential Medal of Freedom to Parkland Shooting HERO and victim, Peter Wang, who died saving others","November 22, 2018","'Veterans & Military'","118,106"
"Save Oleg Sentsov","August 09, 2018","'Civil Rights & Equality', 'Foreign Policy'","116,791"
"Support Hong Kong people's right to strike and sanction figures suppressing basic human rights in Hong Kong.","February 01, 2020","'Civil Rights & Equality', 'Foreign Policy'","116,592"
"Racially Discriminatory Article Title on Wall Street Journal","February 06, 2020","'Civil Rights & Equality'","115,899"
"Support Hong Kong to Restart a CLEAN 2020 Legislative Council Election NOW","August 28, 2020","'Civil Rights & Equality', 'Foreign Policy'","115,816"
"Please include the top managements of MTR Corporation Limited in ""Hong Kong Human Rights and Democracy Act""","September 06, 2019","'Civil Rights & Equality', 'Criminal Justice Reform', 'Foreign Policy'","115,278"
"Chinese police impersonating Hong Kong police officers in anti-extradition bill protest","August 10, 2019","'Civil Rights & Equality', 'Foreign Policy'","114,882"
"President Trump: Please liberate Hong Kong from Communist China's occupation","June 18, 2019","'Foreign Policy'","114,473"
"Make Tse Chun Chung John and his immediate family members ineligible for U.S. Entry, Citizenship and Visas","October 09, 2019","'Immigration'","114,282"
"Please impose sanctions on Hong Kong police until all that have committed state terrorism crimes are brought to  justice","September 18, 2019","'Foreign Policy', 'Homeland Security & Defense', 'Immigration'","113,753"
"Oppose HR 6666 the TRES Act
Please Act Immediately","May 08, 2020","'Civil Rights & Equality', 'Government & Regulatory Reform', 'Health Care'","113,712"
"Hong Konger strongly hope USA can warning to Hong Kong Police cant adding an electric gun for new weapon","January 15, 2020","'Foreign Policy', 'Gun Violence', 'Veterans & Military'","113,488"
"One Hongkonger One Letter to Save Hong Kong  #TrumpSavesHK","May 23, 2020","'Foreign Policy'","113,264"
"Petition calling for the suspension of crowd control equipment exports to Hong Kong, prevent human rights abuses","July 05, 2019","'Civil Rights & Equality', 'Foreign Policy', 'Gun Violence'","113,201"
"Sanction Hong Kong government for its State Terrorism activity conducted in Yuen Long train station, Hong Kong on 7/21","July 22, 2019","'Civil Rights & Equality', 'Foreign Policy'","113,166"
"President Trump to Sign Executive Order Protecting a Person’s Right to Choose and Refuse Vaccinations","July 25, 2020","'Civil Rights & Equality', 'Health Care'","112,874"
"Sanction Hong Kong Police","August 31, 2019","'Criminal Justice Reform', 'Foreign Policy', 'Government & Regulatory Reform'","112,267"
"A Peace Treaty on the Korean Peninsula","March 15, 2018","'NA'","112,217"
"C.Y. Leung must be gounded for U.S. and Europe, his foreign assets must be frozen. He offers bounty to arrest protestors","September 29, 2019","'Civil Rights & Equality', 'Criminal Justice Reform', 'Government & Regulatory Reform'","111,683"
"Repeal Section 907 of the Freedom Support Act","July 20, 2020","'Foreign Policy'","111,317"
"Oppose Japan and the IOC's decision to use the ""rising sun"" flag in the Tokyo 2020 Olympics","September 24, 2019","'Civil Rights & Equality', 'Foreign Policy', 'Homeland Security & Defense'","111,173"
"Immediate cancellation of visa or citizenships and expelsion of HKSAR top officials and police officers &amp; family members","October 10, 2019","'Civil Rights & Equality', 'Foreign Policy', 'Immigration'","111,133"
"Please include  Television Broadcasts Limited (TVB) in ""Hong Kong Human Rights and Democracy Act""","October 10, 2019","'Civil Rights & Equality', 'Foreign Policy'","111,099"
"Ask the International Olympics Commission &amp; Corporate Sponsors to relocate or cancel the Beijing 2022 Winter Olympics","December 20, 2019","'Civil Rights & Equality', 'Foreign Policy'","110,545"
"Demand DOJ Investigate Corruption Involved in the Christian Andreacchio Murder Investigation","January 19, 2020","'Civil Rights & Equality'","110,418"
"Invite Taiwan to join the United Nations","April 05, 2020","'Foreign Policy'","110,187"
"Please include the Hong Kong Police Group in ""Hong Kong Human Rights and Democracy Act""","September 16, 2019","'Civil Rights & Equality', 'Criminal Justice Reform', 'Foreign Policy'","109,960"
"Seize the assets and revoke the US Citizenship of the VC of the HK Hung Hom Police Division - Mr. Chung Nga Lun.","October 16, 2019","'Civil Rights & Equality', 'Foreign Policy', 'Government & Regulatory Reform'","109,800"
"Demand for sanction on the Commissioner of Police of the Hong Kong Police Force Chris Tang Ping","April 06, 2020","'Civil Rights & Equality', 'Criminal Justice Reform', 'Foreign Policy'","109,512"
"Condemn China's Concentration Camps and Prevent a 21st Century Holocaust in East Turkistan","September 09, 2018","'Foreign Policy', 'Homeland Security & Defense'","109,469"
"Sanction Daniel Ortega under the Magnitsky Act","May 30, 2018","'Civil Rights & Equality', 'Foreign Policy'","109,460"
"Call for Official Recognition of the Chinese Communist Party as a Terrorist Organization","August 11, 2019","'Foreign Policy', 'Gun Violence', 'Homeland Security & Defense'","109,438"
"Juniors Law","June 26, 2018","'Criminal Justice Reform'","109,253"
"American people, say NO loudly to sexual assault!","October 28, 2017","'Criminal Justice Reform', 'Foreign Policy', 'Homeland Security & Defense'","109,188"
"Requesting international humanitarian aid/assistance for unprotected Hong Kong citizens","July 21, 2019","'Civil Rights & Equality', 'Criminal Justice Reform', 'Homeland Security & Defense'","108,175"
"Saivian LLc. USA and Saivian International Inc Scam","September 09, 2017","'Budget & Taxes', 'Criminal Justice Reform', 'Economy & Jobs'","107,772"
